Category,Product,URL
Guitars | Electric Guitars,Duo-Sonic HS Offset Electric Guitar - Surf Green,http://www.portmacguitars.com.au/Fender-Duo-Sonic-HS-Surf-Green-Offset-Electric-Guitar
Guitars | Electric Guitars | Hollowbodies,G6120DE Duane Eddy Signature Hollow Body,http://www.bigmusicshop.com.au/gretsch-g6120de-duane-eddy.html
Recording | Hard Disk Recording,R16 Recorder / Interface / Controller,http://www.bigmusicshop.com.au/zoom-r16-recorder-interface-controller.html
Amps & FX | Guitar Amps | Guitar Combos | Valve Guitar Combos,Delta Blues 30W 1x15 Guitar Combo Amp Tweed ,http://www.bettermusic.com.au/peavey-delta-blues-1x15-guitar-amp-combo-tweed
Recording | Portable Recording & Hand Held Recorders,H5 Handy Portable Audio Recorder + Accessory Pack,http://www.bigmusicshop.com.au/zoom-h5-handy-stereo-audio-recorder-aph-5-accessory-pack.html
Live Sound | Mixers | Analog Mixers,MGP12X 12-Channel Premium Mixing Console,http://www.haworthguitars.com.au/products/pro-audio-mics/mixers/yamaha-mgp12x-12-channel-premium-mixing-console/
Live Sound | Effects / Rack Mount Gear,Feedback Destroyer Pro FBQ2496,https://www.kosmic.com.au/behringer-fbq2496-feedback-destroyer-pro
Guitars | Acoustic Guitars | Acoustic Electric Guitars,Sonoran SCE Lake Placid Blue,http://www.bigmusicshop.com.au/fender-sonoran-sce-lake-placid-blue-v2.html
Live Sound | Mixers | Analog Mixers,MGP12X 12-Channel Premium Mixing Console,https://www.storedj.com.au/yamaha-mgp12x-12-channel-mixing-console
Accessories & Parts | Power Supplies,AC Rider Link - Power Supply Brick 6  Outlets,http://www.bettermusic.com.au/cioks-ac-rider-link-power-supply
Amps & FX | Guitar Amps | Guitar Combos | Valve Guitar Combos,Delta Blues 30W 1x15 Guitar Combo Amp Tweed ,https://www.kosmic.com.au/peavey-delta-blues-30w-2x10-guitar-combo-amp-tweed
Recording | Microphones | Shotgun & Video Microphones,GN1 Miniature Gooseneck Mount,https://www.storedj.com.au/rode-gn1-miniature-gooseneck-mount
